skin_humidity,skin_temperature,steps,stress_level
16.81,85.81,44,1
24.25,93.25,193,2
13.71,82.71,7,0
23.91,92.91,159,2
29.7,98.7,170,2
13.52,82.52,79,0
14.42,83.42,78,0
12.69,81.69,87,0
10.75,79.75,75,0
15.24,84.24,69,1
16.07,85.07,61,1
21.26,90.26,116,1
22.45,91.45,121,1
29.5,98.5,150,2
14.65,83.65,10,0
25.24,94.24,150,2
18.08,87.08,80,1
19.59,88.59,101,1
18.85,87.85,66,1
15.36,84.36,81,1
23.16,92.16,155,2
18.91,87.91,72,1
26.93,95.93,177,2
18.03,87.03,75,1
22.36,91.36,112,1
23.88,92.88,156,2
23.0,92.0,139,2
17.38,86.38,10,1
16.34,85.34,88,1
11.69,80.69,78,0
26.86,95.86,170,2
13.12,82.12,39,0
21.22,90.22,112,1
16.8,85.8,43,1
26.3,95.3,185,2
11.14,80.14,23,0
21.09,90.09,99,1
10.28,79.28,28,0
10.02,79.02,2,0
18.0,87.0,72,1
19.63,88.63,105,1
25.58,94.58,184,2
19.91,88.91,95,1
22.69,91.69,115,1
25.88,94.88,143,2
26.6,95.6,144,2
25.01,94.01,198,2
21.43,90.43,95,1
22.55,91.55,101,1
23.57,92.57,196,2
27.29,96.29,142,2
13.01,82.01,28,0
21.46,90.46,98,1
26.29,95.29,184,2
23.26,92.26,165,2
29.46,98.46,146,2
28.24,97.24,166,2
26.78,95.78,162,2
29.16,98.16,187,2
17.17,86.17,80,1
21.6,90.6,112,1
12.62,81.62,80,0
26.06,95.06,161,2
21.99,90.99,113,1
21.66,90.66,118,1
17.33,86.33,5,1
13.44,82.44,71,0
17.1,86.1,73,1
26.74,95.74,158,2
10.97,79.97,6,0
16.13,85.13,67,1
13.98,82.98,34,0
22.79,91.79,125,1
10.73,79.73,73,0
21.41,90.41,93,1
13.6,82.6,87,0
22.22,91.22,98,1
21.77,90.77,129,1
19.25,88.25,105,1
16.59,85.59,22,1
13.08,82.08,35,0
26.43,95.43,198,2
14.46,83.46,82,0
18.16,87.16,88,1
18.35,87.35,16,1
16.19,85.19,73,1
10.45,79.45,45,0
27.57,96.57,170,2
24.33,93.33,130,2
26.11,95.11,166,2
14.47,83.47,83,0
15.51,84.51,5,1
19.97,88.97,101,1
25.5,94.5,176,2
11.81,80.81,90,0
19.2,88.2,100,1
28.28,97.28,170,2
29.58,98.58,158,2
22.49,91.49,125,1
25.16,94.16,142,2
28.03,97.03,145,2
19.09,88.09,90,1
29.63,98.63,163,2
13.2,82.2,47,0
25.64,94.64,190,2
25.77,94.77,132,2
16.94,85.94,57,1
20.68,89.68,96,1
28.19,97.19,161,2
19.9,88.9,94,1
15.38,84.38,83,1
13.9,82.9,26,0
29.53,98.53,153,2
15.84,84.84,38,1
14.62,83.62,7,0
13.24,82.24,51,0
29.85,98.85,185,2
11.12,80.12,21,0
10.8,79.8,80,0
15.35,84.35,80,1
18.62,87.62,43,1
29.64,98.64,164,2
26.75,95.75,159,2
27.7,96.7,183,2
13.61,82.61,88,0
28.35,97.35,177,2
16.67,85.67,30,1
10.81,79.81,81,0
19.66,88.66,108,1
20.93,89.93,121,1
13.02,82.02,29,0
12.27,81.27,45,0
13.59,82.59,86,0
19.53,88.53,95,1
27.36,96.36,149,2
13.04,82.04,31,0
12.52,81.52,70,0
15.9,84.9,44,1
23.96,92.96,164,2
10.08,79.08,8,0
15.7,84.7,24,1
21.31,90.31,121,1
18.07,87.07,79,1
24.12,93.12,180,2
10.18,79.18,18,0
15.93,84.93,47,1
21.39,90.39,129,1
23.77,92.77,145,2
12.87,81.87,14,0
27.45,96.45,158,2
11.54,80.54,63,0
20.95,89.95,123,1
12.06,81.06,24,0
23.81,92.81,149,2
16.95,85.95,58,1
28.46,97.46,188,2
24.02,93.02,170,2
23.74,92.74,142,2
25.05,94.05,131,2
24.52,93.52,149,2
14.19,83.19,55,0
28.5,97.5,192,2
11.26,80.26,35,0
20.87,89.87,115,1
28.33,97.33,175,2
10.82,79.82,82,0
14.32,83.32,68,0
16.77,85.77,40,1
22.63,91.63,109,1
27.62,96.62,175,2
22.47,91.47,123,1
18.5,87.5,31,1
28.32,97.32,174,2
23.36,92.36,175,2
10.83,79.83,83,0
20.28,89.28,94,1
28.08,97.08,150,2
25.96,94.96,151,2
29.3,98.3,130,2
16.76,85.76,39,1
19.86,88.86,128,1
23.12,92.12,151,2
27.61,96.61,174,2
13.41,82.41,68,0
13.45,82.45,72,0
18.36,87.36,17,1
26.63,95.63,147,2
19.74,88.74,116,1
21.55,90.55,107,1
16.4,85.4,3,1
19.43,88.43,123,1
10.63,79.63,63,0
29.55,98.55,155,2
28.98,97.98,169,2
24.18,93.18,186,2
10.6,79.6,60,0
10.33,79.33,33,0
24.04,93.04,172,2
15.08,84.08,53,1
23.11,92.11,150,2
29.97,98.97,197,2
16.6,85.6,23,1
16.16,85.16,70,1
25.17,94.17,143,2
27.26,96.26,139,2
26.07,95.07,162,2
28.2,97.2,162,2
23.52,92.52,191,2
16.58,85.58,21,1
19.34,88.34,114,1
17.88,86.88,60,1
17.29,86.29,1,1
12.04,81.04,22,0
11.44,80.44,53,0
29.89,98.89,189,2
13.73,82.73,9,0
18.2,87.2,1,1
27.88,96.88,130,2
16.86,85.86,49,1
15.41,84.41,86,1
10.67,79.67,67,0
22.04,91.04,118,1
22.27,91.27,103,1
28.3,97.3,172,2
28.4,97.4,182,2
28.62,97.62,133,2
10.85,79.85,85,0
25.55,94.55,181,2
17.19,86.19,82,1
22.78,91.78,124,1
21.08,90.08,98,1
14.7,83.7,15,0
20.69,89.69,97,1
18.39,87.39,20,1
27.11,96.11,195,2
20.23,89.23,127,1
18.47,87.47,28,1
